WINTER 13 : 6/11/2013 6:18:32 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Report Title: All Classes ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Non-Clustered Classes: ,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
5299,ABE 021  ESL,ABE 2 MATH,4,MTWTh,5:00 PM,,Cancel/dec ,0,/,29,0,0,0,
5300,ABE 031  ESL,ABE 3 MATH,5,DAILY,10:00 AM,BE 3119,"Sison,verna ",15,/,29,0,5,5,
5301,ABE 041  ESL,ABE 4 MATH,5,DAILY,10:00 AM,BE 3120,"George, j. ",26,/,29,0,8.7,8.7,
4916,ABE 049  IBS,BASIC SKILLS SUPP PROF/T,5,MW,6:00 PM,BE 3183,"Loos,daniel ",7,/,25,0,2.3,2.3,
4906,ABE 049  YWC,IT FOR ABE STUDENTS 2,5,TWThF,10:00 AM,-,"Martinez, j.",6,/,20,0,2,1.7,
5308,ABE 061  01,ABE 6 MATH,5,DAILY,9:00 AM,BE 3120,"John, annie ",19,/,29,0,6.3,6.3,
5315,ABE 062  01,ABE 6 COMM,10,DAILY,10:00 AM,FA 0302,"Tompson, d. ",30,/,28,0,20,20,
5632,ABE 070  04,ORIEN/INT,1,MTWTh,9:00 AM,BE 3117,"Young, kent ",23,/,29,0,1.5,1.5,
5631,ABE 070  03,ORIEN/INT,1,MTWTh,6:00 PM,BE 3120,Cancel/dec ,0,/,29,0,0,0,
5629,ABE 070  01,ORIEN/INT,1,MTWTh,10:00 AM,BE 3140,"Tompson, d. ",21,/,29,0,1.4,1.4,
5630,ABE 070  02,ORIEN/INT,1,MTWTh,5:00 PM,BE 3140,Gribos ,21,/,29,0,1.4,1.4,
4310,ABS 310  01,PROFESSIONALISM-ETHICAL,5,MW,6:00 PM,BE 4104,"Hunt, v. ",11,/,30,0,3.7,3.7,
4320,ABS 320  01,APPLIED SOCIAL PSYCHOLOG,5,TTh,6:00 PM,BE 3189,"Bonsu, osei ",23,/,30,0,7.7,7.3,
4330,ABS 330  01,INFO LIT PROG ASSESSMENT,5,TTh,6:00 PM,BE 3201,Walls ,13,/,30,0,4.3,4,
4335,ABS 335  01,HUMAN SERVICES PRACTICE,5,MW,3:00 PM,,Cancel/dec ,0,/,30,0,0,0,
4340,ABS 340  01,APPLIED ENVIRONMENTAL SC,5,MW,6:00 PM,BE 3189,"Chenu, katie",16,/,30,0,5.3,5.3,
4399,ABS 399  01,IND STUDY AND RESEARCH,5,Arr,AR:R M,BE 3220,"Sullivan, d.",1,/,6,0,0.1,0,
4415,ABS 415  01,CROSS CULTRL COMPETENCY,5,MW,6:00 PM,BE 3193,Hackett ,21,/,30,0,7,6.3,
4499,ABS 499  01,IND STUDY AND RESEARCH,5,Arr,AR:R M,BE 3220,"Sullivan, d.",0,/,5,0,0,0,
9100,ACCT&201  OL,PRIN OF ACCOUNTING I,5,Online,-,-,"Harmer, tom ",20,/,25,0,6.7,5.7,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
1,ACCT&201  01,PRIN OF ACCOUNTING I,5,HYBRID - MTWTh,8:00 AM,BE 4149,"Black,claude",26,/,35,0,8.7,3,
3,ACCT&201  03,PRIN OF ACCOUNTING I,5,MTWTh,10:00 AM,BPH0401,Black ,46,/,50,0,15.3,6.3,
4,ACCT&201  04,PRIN OF ACCOUNTING I,5,TTh,6:30 PM,BE 3212,Maxwell ,27,/,35,0,9,5,
